날짜,종가,거래량
2022.01.18,77000.0,9592788
2022.01.19,76300.0,10598290
2022.01.20,76500.0,9708168
2022.01.21,75600.0,15774888
2022.01.24,75100.0,13691134
2022.01.25,74000.0,17766704
2022.01.26,73300.0,12976730
2022.01.27,71300.0,22274777
2022.01.28,73300.0,21367447
2022.02.03,73300.0,17744721
2022.02.04,74000.0,12730034
2022.02.07,73000.0,14240838
2022.02.08,73500.0,11736666
2022.02.09,74700.0,9699122
2022.02.10,75400.0,17746033
2022.02.11,74900.0,12205407
2022.02.14,73700.0,13993255
2022.02.15,73700.0,9320365
2022.02.16,74800.0,10767386
2022.02.17,75000.0,13605382
2022.02.18,74300.0,10122226
2022.02.21,74200.0,10489717
2022.02.22,73400.0,11692469
2022.02.23,73000.0,10397964
2022.02.24,71500.0,15759283
2022.02.25,71900.0,13168484
2022.02.28,72100.0,17781783
2022.03.02,71700.0,12481430
2022.03.03,72900.0,13232638
2022.03.04,71500.0,13409634
2022.03.07,70100.0,18617138
2022.03.08,69500.0,15828269
2022.03.10,71200.0,21159248
2022.03.11,70000.0,15787655
2022.03.14,70200.0,9040993
2022.03.15,69500.0,10258562
2022.03.16,70400.0,10175750
2022.03.17,71200.0,17646315
2022.03.18,70700.0,14410038
2022.03.21,69900.0,11169002
2022.03.22,70300.0,9402666
2022.03.23,70500.0,12398025
2022.03.24,69800.0,37943357
2022.03.25,69800.0,12986010
2022.03.28,69700.0,12619289
2022.03.29,70200.0,13686208
2022.03.30,69900.0,12670187
2022.03.31,69600.0,12510366
2022.04.01,69100.0,15916846
2022.04.04,69300.0,11107905
2022.04.05,69200.0,8467248
2022.04.06,68500.0,15517308
2022.04.07,68000.0,20683327
2022.04.08,67800.0,15453191
2022.04.11,67900.0,12263735
2022.04.12,67000.0,13924389
2022.04.13,68700.0,17378619
2022.04.14,67500.0,16409494
2022.04.15,66600.0,13176415
2022.04.18,66700.0,10119203
2022.04.19,67300.0,12959434
2022.04.20,67400.0,16693293
2022.04.21,67700.0,12847448
2022.04.22,67000.0,11791478
2022.04.25,66300.0,11016474
2022.04.26,66100.0,12946923
2022.04.27,65000.0,18122084
2022.04.28,64800.0,16895527
2022.04.29,67400.0,26190390
2022.05.02,67300.0,14106184
2022.05.03,67500.0,14168875
2022.05.04,67900.0,11505248
2022.05.06,66500.0,14356156
2022.05.09,66100.0,11858736
2022.05.10,65700.0,17235605
2022.05.11,65700.0,12330920
2022.05.12,64900.0,16414188
2022.05.13,66500.0,14551536
2022.05.16,66300.0,11937555
2022.05.17,67600.0,15680447
2022.05.18,68100.0,16486319
2022.05.19,67500.0,17073727
2022.05.20,68000.0,12109671
2022.05.23,67900.0,13684088
2022.05.24,66500.0,15482576
2022.05.25,66400.0,15150490
2022.05.26,65900.0,15970890
2022.05.27,66500.0,11405555
2022.05.30,67700.0,14255484
2022.05.31,67400.0,24365002
2022.06.02,66700.0,14959443
2022.06.03,66800.0,8222883
2022.06.07,65500.0,19355755
2022.06.08,65300.0,12483180
2022.06.09,65200.0,25790725
2022.06.10,63800.0,22193552
2022.06.13,62100.0,22157816
2022.06.14,61900.0,24606419
2022.06.15,60700.0,26811224
2022.06.16,60900.0,23394895
2022.06.17,59800.0,29053450
2022.06.20,58700.0,34111306
2022.06.21,58500.0,25148109
2022.06.22,57600.0,23334687
2022.06.23,57400.0,28338608
2022.06.24,58400.0,23256103
2022.06.27,58800.0,18122236
2022.06.28,59400.0,13540538
2022.06.29,58000.0,14677138
2022.06.30,57000.0,18915142
2022.07.01,56200.0,24982097
2022.07.04,57100.0,17807126
2022.07.05,57200.0,14216539
2022.07.06,56400.0,16820461
2022.07.07,58200.0,21322833
2022.07.08,58700.0,15339271
2022.07.11,58800.0,13042624
2022.07.12,58100.0,9336061
2022.07.13,58000.0,10841315
2022.07.14,57500.0,15067012
2022.07.15,60000.0,18685583
2022.07.18,61900.0,20832517
2022.07.19,60900.0,15248261
2022.07.20,60500.0,16782238
2022.07.21,61800.0,12291374
2022.07.22,61300.0,10261310
2022.07.25,61100.0,9193681
2022.07.26,61700.0,6597211
2022.07.27,61800.0,7320997
2022.07.28,61900.0,10745302
2022.07.29,61400.0,15093120
2022.08.01,61300.0,13154816
2022.08.02,61700.0,13614895
2022.08.03,61300.0,10053861
2022.08.04,61500.0,9125439
2022.08.05,61500.0,9567620
2022.08.08,60800.0,11313150
